module,type,name,res_id,src,value
openacademy,view,openacademy.course,openacademy.course_search_view,Group By,
openacademy,field,"openacademy.course,id",0,ID,
openacademy,field,"openacademy.session,id",0,ID,
openacademy,field,"openacademy.wizard,id",0,ID,
openacademy,field,"openacademy.session,instructeur_id",0,Instructeur,
openacademy,field,"res.partner,instructeur",0,Instructeur,
openacademy,field,"openacademy.course,__last_update",0,Last Modified on,
openacademy,field,"openacademy.session,__last_update",0,Last Modified on,
openacademy,field,"openacademy.wizard,__last_update",0,Last Modified on,
openacademy,field,"openacademy.course,write_uid",0,Last Updated by,
openacademy,field,"openacademy.session,write_uid",0,Last Updated by,
openacademy,field,"openacademy.wizard,write_uid",0,Last Updated by,
openacademy,field,"openacademy.course,write_date",0,Last Updated on,
openacademy,field,"openacademy.session,write_date",0,Last Updated on,
openacademy,field,"openacademy.wizard,write_date",0,Last Updated on,
openacademy,sql_constraint,openacademy.course,0,Le titlre du cour êxistant,
openacademy,sql_constraint,openacademy.course,0,Le titre du cour doit être différent de la description,
openacademy,view,openacademy.session,openacademy.session_graph_view,Les Participations par Cours,
openacademy,view,openacademy.course,openacademy.course_tree_view,Liste des Cours,
openacademy,view,openacademy.session,openacademy.session_tree_view,Liste des Sessions,
openacademy,view,openacademy.session,openacademy.session_form_view,Mark as done,
openacademy,view,openacademy.course,openacademy.course_search_view,Mes Cours,
openacademy,field,"openacademy.session,name",0,Nom,
openacademy,view,openacademy.session,openacademy.session_kanban_view,Nom de Session:,
openacademy,field,"openacademy.session,nbr_participants",0,Nombre de Participants,
openacademy,field,"openacademy.session,nbr_place",0,Nombre de Place,
openacademy,model,"ir.ui.menu,name",openacademy.main_openacademy_menu,Open Academy,
openacademy,model,"ir.ui.menu,name",openacademy.openacademy_menu,Open Academy,
openacademy,model,"res.groups,name",openacademy.group_manager,OpenAcademy / Manager,
openacademy,field,"openacademy.session,participant_ids",0,Participants,
openacademy,field,"openacademy.wizard,participant_ids",0,Participants,
openacademy,model,"ir.model,name",openacademy.model_res_partner,Partner,
openacademy,field,"openacademy.session,place_occupe",0,Places Occupées,
openacademy,view,openacademy.session,openacademy.session_form_view,Reset to draft,
openacademy,view,openacademy.course,openacademy.course_search_view,Responsable,
openacademy,field,"openacademy.course,responsable_id",0,Responsable,
openacademy,view,openacademy.session,openacademy.session_form_view,Schedule,
openacademy,view,openacademy.session,openacademy.session_form_view,Session Form,
openacademy,model,"ir.actions.act_window,name",openacademy.session_list_action,Sessions,
openacademy,model,"ir.ui.menu,name",openacademy.session_menu,Sessions,
openacademy,view,openacademy.course,openacademy.course_form_view,Sessions,
openacademy,field,"openacademy.course,session_ids",0,Sessions,
openacademy,field,"openacademy.wizard,session_ids",0,Sessions,
openacademy,view,res.partner,openacademy.partner_instructeur_form_view,Sessions,
openacademy,view,openacademy.course,openacademy.course_form_view,Sessions Enregistrées,
openacademy,field,"res.partner,session_ids",0,Sessions Participes,
openacademy,model,"ir.actions.server,name",openacademy.set_session_to_draft,Set Session to Draft,
openacademy,model,"ir.actions.server,name",openacademy.set_session_to_confirmed,Set session to Confirmed,
openacademy,model,"ir.actions.server,name",openacademy.set_session_to_done,Set session to Done,
openacademy,field,"openacademy.session,state",0,State,
openacademy,view,openacademy.wizard,openacademy.wizard_form_view,Subscribe,
openacademy,model,"res.partner.category,name",openacademy.teacher1,Teacher / Level 1,
openacademy,model,"res.partner.category,name",openacademy.teacher2,Teacher / Level 2,
openacademy,field,"openacademy.course,title",0,Titre,
openacademy,view,openacademy.wizard,openacademy.wizard_form_view,or,
